"_time",IPSource,ja3,PortDestination,PortSource,UserAgent,Request
"2018-03-25 17:49:10.694 UTC","67.21.36.2",20c9baf81bfe96ff89722899e75d0190,443,42434,"Mozilla/5.0 zgrab/0.x","GET /robots.txt HTTP/1.1"
"2018-03-25 17:47:39.784 UTC","71.6.202.204",20c9baf81bfe96ff89722899e75d0190,443,46058,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36","GET / HTTP/1.1"
"2018-03-25 17:23:27.251 UTC","141.212.122.48",de13f4c4d70f4211159e2360e806a742,443,54265,,
"2018-03-25 16:55:13.120 UTC","71.6.202.204",20c9baf81bfe96ff89722899e75d0190,443,44976,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36","GET / HTTP/1.1"
"2018-03-25 16:35:10.776 UTC","67.21.36.2",20c9baf81bfe96ff89722899e75d0190,443,58136,"Mozilla/5.0 zgrab/0.x","GET /robots.txt HTTP/1.1"
"2018-03-25 16:34:57.704 UTC","67.21.36.2",20c9baf81bfe96ff89722899e75d0190,443,47464,"Mozilla/5.0 zgrab/0.x","GET /robots.txt HTTP/1.1"
"2018-03-25 16:07:18.187 UTC","113.197.12.194",dbd2416e97bd353a7e1fba839e3a852e,443,35446,"-","\x8D\x80\xD0c\xA5&\xC1F\xC1\xB1\xA7\xDE(\xD3\x10C\xE1\xD6-\xB2"
"2018-03-25 16:07:18.187 UTC","113.197.12.194",dbd2416e97bd353a7e1fba839e3a852e,443,35462,"-","\x8D\x80\xD0c\xA5&\xC1F\xC1\xB1\xA7\xDE(\xD3\x10C\xE1\xD6-\xB2"
"2018-03-25 16:07:18.187 UTC","113.197.12.194",dbd2416e97bd353a7e1fba839e3a852e,443,35457,"-","\x8D\x80\xD0c\xA5&\xC1F\xC1\xB1\xA7\xDE(\xD3\x10C\xE1\xD6-\xB2"
"2018-03-25 16:07:18.187 UTC","113.197.12.194",dbd2416e97bd353a7e1fba839e3a852e,443,35450,"-","\x8D\x80\xD0c\xA5&\xC1F\xC1\xB1\xA7\xDE(\xD3\x10C\xE1\xD6-\xB2"
"2018-03-25 16:07:07.175 UTC","106.11.227.158",4cb30c32ef107c2e6f2c47bc94dc1c8b,443,13239,,
"2018-03-25 16:04:46.552 UTC","196.52.43.113",18e9afaf91db6f8a2470e7435c2a1d6b,995,6666,,
"2018-03-25 16:00:33.597 UTC","139.162.119.197",827f51bae371599533dc9207cb48f86e,443,48506,,
"2018-03-25 15:43:36.469 UTC","71.6.202.204",20c9baf81bfe96ff89722899e75d0190,443,39628,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36","GET / HTTP/1.1"
"2018-03-25 15:41:12.852 UTC","106.186.113.132",6b2355cd870327854d38780b7f3b6dc0,993,38452,,
"2018-03-25 15:39:57.264 UTC","103.53.32.155",eae050f0cb6163c28dd34324c1e28d74,443,57606,,
"2018-03-25 15:39:56.013 UTC","103.53.32.155",eae050f0cb6163c28dd34324c1e28d74,443,57387,,
"2018-03-25 15:39:48.577 UTC","103.53.32.155",eae050f0cb6163c28dd34324c1e28d74,443,57156,,
